episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,time_seconds,time_limit
0,2000,2000,-1061.5,-5307.5,0.34834645669291353,1288,1230,1230,80,11,12.770915746688843,True
1,4000,2000,-739.1,-3695.5,0.38030993618960807,1017,1016,1016,99,17,27.098009824752808,True
2,6000,2000,-476.3,-2381.5,0.33743907842268506,728,748,748,94,23,41.59728288650513,True
3,8000,2000,-45.4,-227.0,0.4155844155844157,533,579,579,102,19,56.45296788215637,True
4,10000,2000,72.1,360.5,0.2646324549237171,171,261,261,103,28,71.45996594429016,True
5,12000,2000,171.8,859.0,0.10197904540162983,53,131,131,83,21,85.0713529586792,True
6,14000,2000,153.6,768.0,0.1557291666666667,20,114,114,95,20,100.23540878295898,True
7,16000,2000,224.9,1124.5,0.051578479324144055,2,92,92,90,17,115.3619499206543,True
8,18000,2000,154.7,773.5,0.06179702650290886,3,102,102,99,27,131.1038568019867,True
9,20000,2000,225.1,1125.5,0.08600621945801867,0,111,111,111,26,146.5511658191681,True
10,22000,2000,120.2,601.0,0.07687188019966729,3,118,118,116,22,161.31008887290955,True
11,24000,2000,183.2,916.0,0.07510917030567699,0,114,114,114,24,177.11435079574585,True
12,26000,2000,166.8,834.0,0.0760191846522782,0,118,118,118,30,193.15275287628174,True
13,28000,2000,110.1,550.5,0.12134423251589466,0,107,107,107,16,209.48108005523682,True
14,30000,2000,259.9,1299.5,0.07772220084647952,0,92,92,92,17,225.056786775589,True
15,32000,2000,182.1,910.5,0.08918176825919821,1,113,113,112,26,239.8531777858734,True
16,34000,2000,241.4,1207.0,0.07903893951946972,0,96,96,96,20,255.95276474952698,True
17,36000,2000,118.6,593.0,0.05531197301854984,1,112,112,111,18,272.3780789375305,True
18,38000,2000,110.9,554.5,0.0688908926961227,1,97,97,96,20,288.866073846817,True
19,40000,2000,138.6,693.0,0.07763347763347772,0,86,86,86,18,305.24979877471924,True
20,42000,2000,145.6,728.0,0.09230769230769242,1,101,101,100,21,321.61539578437805,True
21,44000,2000,138.3,691.5,0.142877801879971,0,116,116,116,27,336.70848298072815,True
22,46000,2000,115.1,575.5,0.06394439617723724,0,91,91,91,18,353.19888377189636,True
23,48000,2000,90.1,450.5,0.0759156492785793,0,81,81,81,18,369.8191318511963,True
24,50000,2000,108.5,542.5,0.08294930875576045,0,99,99,99,22,386.3126006126404,True
25,52000,2000,109.5,547.5,0.0664840182648403,0,95,95,95,20,402.81468391418457,True
26,54000,2000,90.4,452.0,0.08495575221238938,0,109,109,109,21,418.2363860607147,True
27,56000,2000,86.6,433.0,0.08683602771362597,0,107,107,107,19,434.9806478023529,True
28,58000,2000,82.0,410.0,0.05658536585365859,3,115,115,112,25,451.7198886871338,True
29,60000,2000,134.9,674.5,0.37212750185322463,0,110,110,110,25,467.5485429763794,True
30,62000,2000,69.7,348.5,0.05624103299856542,2,105,105,103,20,484.3288378715515,True
31,64000,2000,84.0,420.0,0.07380952380952377,1,84,84,84,20,499.77490401268005,True
32,66000,2000,111.7,558.5,0.07663384064458367,0,102,102,102,17,516.4343717098236,True
33,68000,2000,92.0,460.0,0.07434782608695656,0,100,100,100,20,533.2048139572144,True
34,70000,2000,81.9,409.5,0.08742368742368756,0,92,92,92,19,549.8994598388672,True
35,72000,2000,92.9,464.5,0.09343379978471478,0,105,105,105,22,566.5046057701111,True
36,74000,2000,104.0,520.0,0.12884615384615383,1,98,98,97,20,582.9965438842773,True
37,76000,2000,112.3,561.5,0.036687444345503195,0,102,102,102,23,598.3192129135132,True
38,78000,2000,125.2,626.0,0.058785942492012744,0,83,83,83,19,614.7161147594452,True
39,80000,2000,118.3,591.5,0.052409129332206206,0,87,87,87,18,631.3241510391235,True
40,82000,2000,121.7,608.5,0.05554642563681189,1,95,95,94,22,647.8019258975983,True
41,84000,2000,105.5,527.5,0.1292890995260665,0,111,111,111,22,664.4278059005737,True
42,86000,2000,102.1,510.5,0.16415279138099903,0,97,97,97,26,679.7196836471558,True
43,88000,2000,89.5,447.5,0.11486033519553085,0,103,103,103,12,696.4516577720642,True
44,90000,2000,91.5,457.5,0.07956284153005466,0,100,100,100,19,713.2701349258423,True
45,92000,2000,54.1,270.5,0.09242144177449174,1,95,95,94,22,730.186824798584,True
46,94000,2000,84.7,423.5,0.14639905548996457,1,101,101,101,10,746.9388418197632,True
47,96000,2000,111.0,555.0,0.14486486486486494,1,94,94,93,22,762.1249227523804,True
48,98000,2000,90.3,451.5,0.04872646733111852,0,99,99,99,20,778.8125128746033,True
49,100000,2000,106.7,533.5,0.0678537956888472,0,108,108,108,21,795.508624792099,True
50,102000,2000,131.3,656.5,0.10571210967250577,0,104,104,104,27,811.9675676822662,True
51,104000,2000,79.3,396.5,0.045397225725094525,0,105,105,105,20,828.7034668922424,True
52,106000,2000,67.3,336.5,0.1509658246656762,0,92,92,92,11,845.4901030063629,True
53,108000,2000,80.8,404.0,0.12326732673267338,0,105,105,105,17,860.9768798351288,True
54,110000,2000,73.2,366.0,0.1622950819672131,0,87,87,87,13,877.8180208206177,True
55,112000,2000,126.1,630.5,0.13068992862807294,0,107,107,107,14,894.5152969360352,True
56,114000,2000,87.4,437.0,0.099771167048055,0,106,106,106,22,911.3239269256592,True
57,116000,2000,125.3,626.5,0.1353551476456505,0,89,89,89,12,927.9691939353943,True
58,118000,2000,62.0,310.0,0.07677419354838722,0,107,107,107,21,943.5623369216919,True
59,120000,2000,83.2,416.0,0.09711538461538471,0,107,107,107,19,960.2603068351746,True
60,122000,2000,68.3,341.5,0.09721815519765742,0,104,104,104,27,977.1503977775574,True
61,124000,2000,61.7,308.5,0.0505672609400325,2,110,110,108,27,993.9586489200592,True
62,126000,2000,80.9,404.5,0.20618046971569837,0,110,110,110,27,1010.808581829071,True
63,128000,2000,74.3,371.5,0.07106325706594885,0,95,95,95,20,1026.3836588859558,True
64,130000,2000,62.2,311.0,0.1749196141479099,0,111,111,111,17,1043.270212650299,True
65,132000,2000,109.0,545.0,0.05541284403669722,2,97,97,95,21,1059.8943688869476,True
66,134000,2000,86.1,430.5,0.15842044134727074,1,100,100,100,29,1076.6922738552094,True
67,136000,2000,185.8,929.0,0.18708288482238977,0,110,110,110,16,1092.9053738117218,True
68,138000,2000,88.4,442.0,0.07828054298642528,1,81,81,81,11,1109.749925851822,True
69,140000,2000,188.6,943.0,0.2316012725344645,0,101,101,101,23,1124.6348278522491,True
70,142000,2000,80.1,400.5,0.26067415730337085,0,117,117,117,28,1141.4634437561035,True
71,144000,2000,161.1,805.5,0.12613283674736198,0,106,106,106,19,1158.1724138259888,True
72,146000,2000,94.8,474.0,0.24978902953586513,0,97,97,97,25,1174.7789487838745,True
73,148000,2000,68.9,344.5,0.09637155297532662,0,91,91,91,12,1191.6825609207153,True
74,150000,2000,64.8,324.0,0.12407407407407423,0,99,99,99,21,1207.3581748008728,True
75,152000,2000,57.6,288.0,0.11180555555555549,0,101,101,101,25,1224.2545528411865,True
76,154000,2000,59.2,296.0,0.193918918918919,0,90,90,90,12,1241.1370339393616,True
77,156000,2000,76.0,380.0,0.12157894736842101,0,106,106,106,20,1258.0536937713623,True
78,158000,2000,98.2,491.0,0.13564154786150717,0,87,87,87,11,1274.8061628341675,True
79,160000,2000,85.2,426.0,0.15211267605633805,0,77,77,77,17,1290.316475868225,True
80,162000,2000,97.9,489.5,0.04208375893769167,0,86,86,86,19,1307.0142509937286,True
81,164000,2000,81.0,405.0,0.06765432098765434,0,104,104,104,22,1323.7855389118195,True
82,166000,2000,72.7,363.5,0.12544704264099038,0,122,122,122,21,1340.6205370426178,True
83,168000,2000,72.6,363.0,0.11515151515151523,0,88,88,88,24,1357.4765739440918,True
84,170000,2000,62.7,313.5,0.1186602870813398,1,101,101,101,6,1374.5138368606567,True
85,172000,2000,57.7,288.5,0.09081455805892547,0,101,101,101,18,1390.2967307567596,True
86,174000,2000,92.4,462.0,0.17489177489177488,0,98,98,98,22,1407.0394690036774,True
87,176000,2000,92.3,461.5,0.22535211267605648,0,98,98,98,17,1423.952241897583,True
88,178000,2000,164.6,823.0,0.18687727825030387,0,79,79,79,19,1440.297513961792,True
89,180000,2000,99.8,499.0,0.18517034068136273,0,103,103,103,29,1457.1583507061005,True
90,182000,2000,82.5,412.5,0.1435151515151516,0,117,117,117,18,1472.672515630722,True
91,184000,2000,64.6,323.0,0.06873065015479884,0,128,128,128,28,1489.6294379234314,True
92,186000,2000,74.6,373.0,0.21554959785522798,1,99,99,98,25,1506.5313968658447,True
93,188000,2000,54.0,270.0,0.1392592592592592,0,105,105,105,19,1523.4260838031769,True
94,190000,2000,88.9,444.5,0.31153039832285123,1,101,101,100,18,1540.091022014618,True
95,192000,2000,97.4,487.0,0.15236139630390144,3,102,102,99,20,1555.3858258724213,True
96,194000,2000,88.3,441.5,0.08018120045300114,0,94,94,94,21,1572.0429999828339,True
97,196000,2000,88.5,442.5,0.18757062146892656,0,93,93,93,18,1588.540190935135,True
98,198000,2000,83.1,415.5,0.2806257521058966,1,87,87,87,28,1605.2448449134827,True
99,200000,2000,76.0,380.0,0.23263157894736852,1,110,110,109,16,1622.0248367786407,True
100,202000,2000,134.7,673.5,0.23043801039346712,0,93,93,93,18,1638.0281739234924,True
101,204000,2000,120.4,602.0,0.21760797342192695,0,107,107,107,21,1653.1920068264008,True
102,206000,2000,90.4,452.0,0.12256637168141604,1,91,91,90,9,1669.9369530677795,True
103,208000,2000,76.7,383.5,0.18774445893089964,0,92,92,92,9,1686.7561049461365,True
104,210000,2000,176.1,880.5,0.5767177739920499,0,85,85,85,16,1702.109189748764,True
105,212000,2000,66.1,330.5,0.16701966717095318,0,97,97,97,28,1718.9803719520569,True
106,214000,2000,51.0,255.0,0.1537254901960785,7,117,117,111,31,1734.5950639247894,True
107,216000,2000,74.4,372.0,0.0693548387096774,1,105,105,104,17,1751.4381947517395,True
108,218000,2000,56.3,281.5,0.33112164296998414,0,80,80,80,17,1768.3399076461792,True
109,220000,2000,61.1,305.5,0.26448445171849433,0,91,91,91,10,1785.2674617767334,True
110,222000,2000,87.7,438.5,0.2946408209806157,0,110,110,110,21,1802.0415449142456,True
111,224000,2000,66.1,330.5,0.4966261808367072,0,111,111,111,22,1814.971385717392,True
112,226000,2000,167.6,838.0,0.3518477043673012,0,93,93,93,23,1829.4771089553833,True
113,228000,2000,65.0,325.0,0.03569230769230769,0,94,94,94,16,1846.3402297496796,True
114,230000,2000,91.8,459.0,0.17124183006535953,1,96,96,95,16,1863.0353107452393,True
115,232000,2000,60.7,303.5,0.1344316309719935,0,110,110,110,23,1879.9251959323883,True
116,234000,2000,62.3,311.5,0.09951845906902101,0,104,104,104,27,1896.9130039215088,True
117,236000,2000,98.4,492.0,0.3735772357723577,0,111,111,111,31,1912.258955001831,True
118,238000,2000,68.9,344.5,0.0801161103047896,0,112,112,112,21,1929.1414008140564,True
119,240000,2000,85.8,429.0,0.19067599067599073,0,82,82,82,16,1945.9396557807922,True
120,242000,2000,82.1,410.5,0.22509135200974417,0,100,100,100,17,1962.7578628063202,True
121,244000,2000,154.7,773.5,0.7775585696670777,0,104,104,104,21,1977.0454409122467,True
122,246000,2000,84.7,423.5,0.15867768595041332,0,105,105,105,22,1992.6888608932495,True
123,248000,2000,83.9,419.5,0.18259833134684156,0,87,87,87,12,2009.4204049110413,True
124,250000,2000,104.2,521.0,0.19654510556621885,0,91,91,91,13,2026.086720943451,True
125,252000,2000,77.2,386.0,0.22746113989637307,1,102,102,101,26,2042.9189579486847,True
126,254000,2000,66.2,331.0,0.20664652567975828,0,105,105,105,19,2060.1519837379456,True
127,256000,2000,57.4,287.0,0.07456445993031369,0,99,99,99,17,2075.850234746933,True
128,258000,2000,27.2,136.0,0.2696920583468396,0,101,101,101,17,2092.852299928665,True
129,260000,2000,53.9,269.5,0.2055658627087198,0,111,111,111,16,2109.8848366737366,True
130,262000,2000,83.9,419.5,0.37663885578069145,5,103,103,98,14,2126.575939655304,True
131,264000,2000,74.9,374.5,0.19599465954606154,5,101,101,96,10,2143.4463317394257,True
132,266000,2000,76.4,382.0,0.24029304029304033,1,98,98,97,14,2160.2203788757324,True
133,268000,2000,97.0,485.0,0.23711340206185572,1,86,86,85,14,2175.661754846573,True
134,270000,2000,80.6,403.0,0.1786600496277917,3,112,112,109,18,2192.345294713974,True
135,272000,2000,91.2,456.0,0.06184210526315792,0,98,98,98,16,2209.024902820587,True
136,274000,2000,96.8,484.0,0.23884297520661169,0,95,95,95,19,2225.621239900589,True
137,276000,2000,53.7,268.5,0.22942271880819365,1,104,104,103,23,2242.447505712509,True
138,278000,2000,89.6,448.0,0.19241071428571432,0,87,87,87,27,2257.739481687546,True
139,280000,2000,72.7,363.5,0.23988995873452557,1,100,100,99,17,2274.5383338928223,True
140,282000,2000,82.2,411.0,0.18053527980535278,1,116,116,115,18,2291.297656059265,True
141,284000,2000,66.5,332.5,0.08421052631578951,0,102,102,102,27,2308.120106935501,True
142,286000,2000,74.8,374.0,0.22834224598930475,1,99,99,98,19,2324.8368797302246,True
143,288000,2000,48.0,240.0,0.15916666666666668,1,99,99,98,17,2340.4822809696198,True
144,290000,2000,75.8,379.0,0.22269129287598943,1,87,87,86,17,2357.4065408706665,True
145,292000,2000,60.8,304.0,0.22302631578947363,0,105,105,105,27,2374.2825326919556,True
