episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,time_seconds,time_limit
0,2000,2000,-1418.0,-7090.0,0.555369261477046,937,956,956,97,24,11.822878122329712,True
1,4000,2000,-518.3,-2591.5,0.46201873048907394,442,474,474,74,15,24.882188081741333,True
2,6000,2000,-327.7,-1638.5,0.25121806298276894,188,277,277,111,12,38.62070918083191,True
3,8000,2000,-148.8,-744.0,0.29378531073446323,86,178,178,95,20,51.763466119766235,True
4,10000,2000,-79.1,-395.5,0.46624605678233433,85,160,160,82,9,65.29198908805847,True
5,12000,2000,-8.5,-42.5,0.23032967032967044,19,105,105,90,18,77.71534013748169,True
6,14000,2000,5.3,26.5,0.2415094339622641,8,106,106,99,17,91.42765808105469,True
7,16000,2000,13.1,65.5,0.24122137404580157,5,93,93,88,14,104.88706922531128,True
8,18000,2000,4.8,24.0,0.15833333333333344,3,107,107,104,23,118.33122992515564,True
9,20000,2000,-3.1,-15.5,0.24927536231884062,0,109,109,109,24,131.6080162525177,True
10,22000,2000,-24.4,-122.0,0.3742331288343559,4,103,103,100,21,143.90442609786987,True
11,24000,2000,-18.2,-91.0,0.23463687150837997,3,103,103,102,25,157.02099919319153,True
12,26000,2000,-8.2,-41.0,0.40930232558139545,2,109,109,107,17,170.33784914016724,True
13,28000,2000,-7.7,-38.5,0.35151515151515156,0,95,95,95,18,183.31426620483398,True
14,30000,2000,-5.9,-29.5,0.5250000000000001,1,94,94,93,19,196.5099902153015,True
15,32000,2000,-19.2,-96.0,0.2186915887850467,6,117,117,112,27,208.70953607559204,True
16,34000,2000,-17.4,-87.0,0.21083743842364533,2,97,97,96,21,222.00294303894043,True
17,36000,2000,-7.9,-39.5,0.3686274509803922,4,114,114,110,21,235.24609112739563,True
18,38000,2000,-2.1,-10.5,0.37948717948717947,1,86,86,85,19,248.44407033920288,True
19,40000,2000,-9.4,-47.0,0.5230769230769232,0,125,125,125,29,261.56636118888855,True
20,42000,2000,14.3,71.5,0.2041958041958043,0,94,94,94,15,274.9825282096863,True
21,44000,2000,-2.7,-13.5,0.43157894736842106,0,114,114,114,25,287.6763610839844,True
22,46000,2000,-6.3,-31.5,0.509090909090909,0,107,107,107,14,301.3485403060913,True
23,48000,2000,-7.1,-35.5,0.33684210526315783,0,87,87,87,16,314.07284927368164,True
24,50000,2000,-8.0,-40.0,0.3866666666666667,0,102,102,102,22,326.8854660987854,True
25,52000,2000,-7.7,-38.5,0.368421052631579,0,113,113,113,36,339.7381932735443,True
26,54000,2000,-8.1,-40.5,0.28965517241379324,2,99,99,97,18,351.40276408195496,True
27,56000,2000,-26.9,-134.5,0.39626168224299074,0,110,110,110,27,364.15843200683594,True
