episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,time_seconds,time_limit
0,2000,2000,-1250.9,-6254.5,0.31858859626693947,1221,1195,1195,101,30,11.26603078842163,True
1,4000,2000,-1208.2,-6041.0,0.3646908859145954,1218,1153,1153,73,15,24.23071575164795,True
2,6000,2000,-1075.8,-5379.0,0.2890723652258378,819,844,844,93,18,37.294386863708496,True
3,8000,2000,-983.6,-4918.0,0.4543181157313172,472,516,516,85,18,50.35859775543213,True
4,10000,2000,-849.2,-4246.0,0.22542498152254264,274,347,347,105,23,63.35580587387085,True
5,12000,2000,-592.1,-2960.5,0.5872229465449805,293,361,361,96,20,75.23751401901245,True
6,14000,2000,-221.0,-1105.0,0.3529670329670329,281,333,333,76,17,88.0892539024353,True
7,16000,2000,-92.4,-462.0,0.25446009389671365,169,227,227,83,19,101.01419687271118,True
8,18000,2000,-10.3,-51.5,0.36250000000000004,20,110,110,92,17,113.83975076675415,True
9,20000,2000,-20.5,-102.5,0.20423529411764707,5,116,116,112,21,126.82553172111511,True
10,22000,2000,-9.4,-47.0,0.3222222222222222,11,105,105,94,17,138.22000098228455,True
11,24000,2000,-8.8,-44.0,0.5714285714285714,3,103,103,100,15,151.05047702789307,True
12,26000,2000,-7.8,-39.0,0.43333333333333335,2,88,88,86,16,163.72580194473267,True
13,28000,2000,-8.0,-40.0,0.52,2,101,101,99,21,176.4781448841095,True
14,30000,2000,-7.4,-37.0,0.40000000000000013,0,97,97,97,25,189.07439374923706,True
15,32000,2000,-10.1,-50.5,0.3529411764705883,4,121,121,117,22,200.5049819946289,True
16,34000,2000,-7.8,-39.0,0.34594594594594597,1,98,98,97,22,212.96028089523315,True
17,36000,2000,-10.4,-52.0,0.7333333333333334,1,121,121,120,17,225.7471899986267,True
18,38000,2000,-9.5,-47.5,0.56,1,113,113,113,22,238.44906282424927,True
19,40000,2000,-8.9,-44.5,0.3804878048780489,0,112,112,112,23,251.13792777061462,True
20,42000,2000,-20.3,-101.5,0.21224489795918378,4,111,111,108,18,264.3989350795746,True
21,44000,2000,-8.9,-44.5,0.55,1,100,100,99,11,276.6268117427826,True
22,46000,2000,-17.7,-88.5,0.21501210653753033,3,91,91,89,16,290.04841589927673,True
23,48000,2000,-8.6,-43.0,0.6000000000000001,5,104,104,99,16,303.38666701316833,True
24,50000,2000,-8.0,-40.0,0.5066666666666668,0,110,110,110,28,316.7837018966675,True
25,52000,2000,-6.7,-33.5,0.6153846153846154,0,89,89,89,20,330.53857684135437,True
26,54000,2000,-8.7,-43.5,0.33939393939393936,2,112,112,110,23,342.68106389045715,True
27,56000,2000,-7.7,-38.5,0.29767441860465116,1,100,100,99,19,356.107540845871,True
28,58000,2000,-5.8,-29.0,0.4545454545454546,0,88,88,88,26,369.401643037796,True
29,60000,2000,-5.2,-26.0,0.48571428571428577,1,76,76,75,12,383.16106271743774,True
30,62000,2000,-16.2,-81.0,0.2245430809399478,0,94,94,94,22,396.8395357131958,True
31,64000,2000,-6.5,-32.5,0.2666666666666666,3,91,91,88,22,408.9567289352417,True
32,66000,2000,-16.1,-80.5,0.21696658097686372,1,98,98,97,27,422.34693694114685,True
33,68000,2000,-5.6,-28.0,0.40000000000000013,2,92,92,91,18,435.6821827888489,True
34,70000,2000,-27.5,-137.5,0.3956363636363638,0,109,109,109,16,449.0679306983948,True
35,72000,2000,-13.7,-68.5,0.21932114882506526,2,107,107,105,22,462.5747859477997,True
36,74000,2000,-13.3,-66.5,0.21061946902654882,0,99,99,99,20,476.1160669326782,True
37,76000,2000,-6.9,-34.5,0.509090909090909,0,106,106,106,19,488.4175019264221,True
38,78000,2000,3.1,15.5,0.2816901408450705,2,77,77,75,12,501.9394688606262,True
39,80000,2000,0.0,0.0,0.36363636363636376,0,109,109,109,17,515.2353210449219,True
40,82000,2000,-12.6,-63.0,0.24289693593314765,2,104,104,102,14,528.739816904068,True
41,84000,2000,-5.2,-26.0,0.5391304347826087,0,98,98,98,16,542.3298759460449,True
42,86000,2000,-14.8,-74.0,0.2135831381733022,0,96,96,96,26,554.6502459049225,True
43,88000,2000,-27.7,-138.5,0.2042875157629256,1,102,102,101,23,568.3379240036011,True
44,90000,2000,-7.5,-37.5,0.3360000000000001,1,101,101,100,18,581.96644282341,True
45,92000,2000,-15.8,-79.0,0.21705426356589141,2,103,103,101,27,595.277617931366,True
46,94000,2000,-5.0,-25.0,0.3893333333333333,3,107,107,105,27,608.7336897850037,True
47,96000,2000,-26.7,-133.5,0.21047254150702432,1,80,80,79,17,621.1368470191956,True
48,98000,2000,-18.7,-93.5,0.22539682539682548,0,98,98,98,17,634.7037198543549,True
49,100000,2000,-58.9,-294.5,0.31634980988593164,2,107,107,105,24,648.3057978153229,True
50,102000,2000,-59.7,-298.5,0.3235867446393763,1,110,110,109,25,662.1951248645782,True
51,104000,2000,-7.9,-39.5,0.36363636363636376,1,102,102,101,25,676.1675639152527,True
52,106000,2000,-28.9,-144.5,0.4091503267973857,1,103,103,102,16,689.6246569156647,True
53,108000,2000,-2.9,-14.5,0.3214285714285714,0,94,94,94,19,701.9065537452698,True
54,110000,2000,-5.0,-25.0,0.4355555555555557,0,105,105,105,19,715.3731026649475,True
55,112000,2000,-2.3,-11.5,0.5191489361702128,0,99,99,99,16,729.0488498210907,True
56,114000,2000,-7.9,-39.5,0.2777777777777779,0,106,106,106,21,742.72012591362,True
57,116000,2000,-8.9,-44.5,0.575,0,111,111,111,22,756.1195077896118,True
58,118000,2000,-8.9,-44.5,0.32258064516129026,1,106,106,105,19,768.2802999019623,True
59,120000,2000,-18.0,-90.0,0.20915662650602407,1,101,101,100,23,781.6211688518524,True
60,122000,2000,-7.3,-36.5,0.3148936170212766,0,104,104,104,19,794.9475729465485,True
61,124000,2000,-7.3,-36.5,0.44705882352941173,1,91,91,90,16,808.5463449954987,True
62,126000,2000,-7.6,-38.0,0.5142857142857142,0,90,90,90,16,822.1740169525146,True
63,128000,2000,-5.4,-27.0,0.6545454545454545,2,68,68,67,14,834.596079826355,True
64,130000,2000,-17.5,-87.5,0.2153846153846155,0,102,102,102,23,848.302524805069,True
65,132000,2000,-6.2,-31.0,0.3245283018867926,2,109,109,107,21,861.9353227615356,True
66,134000,2000,-6.4,-32.0,0.3222222222222222,1,93,93,92,23,875.4105448722839,True
67,136000,2000,-6.0,-30.0,0.40000000000000013,0,94,94,94,18,888.7882099151611,True
68,138000,2000,-17.6,-88.0,0.2260416666666667,1,97,97,96,25,902.1686000823975,True
69,140000,2000,-7.3,-36.5,0.4363636363636365,0,88,88,88,19,914.5580768585205,True
70,142000,2000,-9.2,-46.0,0.55,3,123,123,121,27,928.1519317626953,True
71,144000,2000,-3.1,-15.5,0.3897435897435897,2,93,93,91,20,941.9439918994904,True
72,146000,2000,-7.2,-36.0,0.30000000000000004,1,108,108,107,24,955.6290118694305,True
73,148000,2000,-4.7,-23.5,0.3272727272727274,0,94,94,94,23,969.8454809188843,True
74,150000,2000,-4.4,-22.0,0.32499999999999996,0,90,90,90,20,982.0469238758087,True
75,152000,2000,-7.8,-39.0,0.4545454545454546,0,101,101,101,23,995.3693706989288,True
76,154000,2000,-8.0,-40.0,0.45333333333333337,0,94,94,94,12,1008.7741050720215,True
77,156000,2000,-7.6,-38.0,0.3500000000000001,1,92,92,91,20,1022.2713959217072,True
78,158000,2000,-8.6,-43.0,0.3411764705882354,0,110,110,110,22,1035.7940049171448,True
79,160000,2000,-4.6,-23.0,0.37241379310344835,0,81,81,81,13,1048.0943868160248,True
80,162000,2000,-7.9,-39.5,0.43870967741935485,0,113,113,113,26,1061.5521278381348,True
81,164000,2000,-7.6,-38.0,0.5428571428571429,0,97,97,97,15,1075.1424088478088,True
82,166000,2000,-27.2,-136.0,0.38993710691823913,0,100,100,100,28,1088.9129419326782,True
83,168000,2000,-8.1,-40.5,0.32820512820512815,0,113,113,113,30,1102.568414926529,True
84,170000,2000,-7.4,-37.0,0.40975609756097575,0,90,90,90,16,1116.340969800949,True
85,172000,2000,-19.3,-96.5,0.23412322274881525,0,110,110,110,17,1128.8929448127747,True
86,174000,2000,-6.4,-32.0,0.288888888888889,0,89,89,89,19,1142.7180378437042,True
87,176000,2000,-1.5,-7.5,0.40000000000000013,0,105,105,105,24,1156.448045015335,True
88,178000,2000,-7.3,-36.5,0.5333333333333334,1,91,91,90,14,1170.4155037403107,True
89,180000,2000,-6.3,-31.5,0.5333333333333334,0,86,86,86,15,1184.191270828247,True
90,182000,2000,-4.1,-20.5,0.3555555555555556,0,109,109,109,20,1196.6568577289581,True
91,184000,2000,-7.1,-35.5,0.40000000000000013,0,107,107,107,22,1210.6141250133514,True
92,186000,2000,-5.6,-28.0,0.48571428571428577,0,79,79,79,11,1224.4218528270721,True
93,188000,2000,-6.4,-32.0,0.32173913043478275,1,90,90,89,26,1238.2620878219604,True
94,190000,2000,-8.2,-41.0,0.37777777777777777,0,103,103,103,21,1251.9721059799194,True
95,192000,2000,-8.6,-43.0,0.4571428571428573,1,100,100,99,14,1264.3281400203705,True
96,194000,2000,-9.6,-48.0,0.6222222222222222,0,116,116,116,20,1278.0434527397156,True
97,196000,2000,-9.5,-47.5,0.3771428571428572,2,125,125,123,22,1291.8796269893646,True
98,198000,2000,-6.5,-32.5,0.40000000000000013,0,95,95,95,30,1305.774097919464,True
99,200000,2000,-18.4,-92.0,0.21147132169576066,1,100,100,99,20,1319.573844909668,True
100,202000,2000,-8.7,-43.5,0.30000000000000004,1,116,116,115,29,1333.3124380111694,True
101,204000,2000,-7.9,-39.5,0.27450980392156876,3,95,95,93,18,1345.742432832718,True
102,206000,2000,-18.2,-91.0,0.22412060301507553,1,96,96,96,16,1359.5904560089111,True
103,208000,2000,-7.4,-37.0,0.5454545454545454,1,102,102,101,16,1373.1543369293213,True
104,210000,2000,-8.5,-42.5,0.3771428571428572,1,102,102,101,17,1386.9417457580566,True
105,212000,2000,-8.5,-42.5,0.30400000000000005,0,107,107,107,24,1400.7390959262848,True
106,214000,2000,-6.9,-34.5,0.5,1,90,90,89,19,1413.458340883255,True
107,216000,2000,-8.2,-41.0,0.34736842105263155,0,96,96,96,20,1427.4358139038086,True
108,218000,2000,-16.9,-84.5,0.20480769230769225,1,84,84,83,17,1441.1934850215912,True
109,220000,2000,-8.5,-42.5,0.41333333333333333,0,112,112,112,27,1455.027256011963,True
110,222000,2000,-7.5,-37.5,0.3085714285714287,0,91,91,91,18,1468.6546139717102,True
111,224000,2000,-8.0,-40.0,0.5333333333333334,0,95,95,95,15,1480.8407018184662,True
112,226000,2000,-6.2,-31.0,0.33684210526315783,0,92,92,92,26,1494.2494049072266,True
113,228000,2000,-8.7,-43.5,0.38139534883720927,0,112,112,112,23,1507.6405487060547,True
114,230000,2000,-6.7,-33.5,0.40000000000000013,1,95,95,94,10,1521.392287015915,True
115,232000,2000,-8.2,-41.0,0.3500000000000001,0,107,107,107,25,1534.9136719703674,True
116,234000,2000,-7.5,-37.5,0.6000000000000001,0,102,102,102,27,1548.329973936081,True
117,236000,2000,-8.2,-41.0,0.32631578947368434,1,119,119,118,29,1560.4715387821198,True
118,238000,2000,-6.4,-32.0,0.360655737704918,1,121,121,120,31,1573.9692089557648,True
119,240000,2000,-7.6,-38.0,0.2705882352941178,0,103,103,103,17,1587.4146418571472,True
120,242000,2000,-7.2,-36.0,0.40930232558139545,1,110,110,110,28,1600.8745908737183,True
121,244000,2000,-9.1,-45.5,0.40000000000000013,1,109,109,108,18,1614.1958198547363,True
122,246000,2000,-27.5,-137.5,0.4122033898305084,1,86,86,85,13,1626.4342818260193,True
123,248000,2000,-18.2,-91.0,0.21105527638190957,1,100,100,100,20,1639.7566938400269,True
124,250000,2000,-8.5,-42.5,0.23272727272727267,1,102,102,101,17,1653.4356808662415,True
125,252000,2000,-7.9,-39.5,0.37391304347826093,1,109,109,108,24,1666.7313590049744,True
