episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,ia_penalty_sum,si_bonus_sum,condition,time_seconds,time_limit
0,2000,2000,966.0000000000006,4830.000000000003,0.3661449275362283,0,0,0,0,0,0.0,15070.000000001257,si,12.290521144866943,True
1,4000,2000,1185.5999999999997,5927.999999999998,0.15477395411605688,0,0,0,0,0,0.0,18374.000000000506,si,26.105307817459106,True
2,6000,2000,1548.0799999999872,7740.399999999936,0.23592837579453207,0,0,0,0,0,0.0,27210.3999999986,si,39.823493003845215,True
3,8000,2000,1505.5999999999876,7527.999999999938,0.33125828605554064,0,0,0,0,0,0.0,25406.000000000768,si,53.63887882232666,True
4,10000,2000,1379.3199999999845,6896.599999999922,0.3236174346779497,0,0,0,0,0,0.0,22711.600000000373,si,67.48581504821777,True
5,12000,2000,2195.239999999987,10976.199999999935,0.36307909302335206,0,0,0,0,0,0.0,41377.19999999818,si,80.01421785354614,True
6,14000,2000,2019.1199999999712,10095.599999999857,0.422631641507188,0,0,0,0,0,0.0,39717.59999999875,si,93.94993209838867,True
7,16000,2000,2745.6399999999767,13728.199999999884,0.265940181524162,0,0,0,0,0,0.0,55203.19999999645,si,108.11549091339111,True
8,18000,2000,2536.8399999999774,12684.199999999888,0.34973473034790326,0,0,0,0,0,0.0,49111.199999996286,si,122.81962013244629,True
9,20000,2000,2944.75999999999,14723.799999999952,0.309083126671315,0,0,0,0,0,0.0,58776.79999999758,si,138.47835493087769,True
10,22000,2000,2273.4399999999814,11367.199999999906,0.5168971354821423,0,0,0,0,0,0.0,45279.19999999742,si,155.47981095314026,True
11,24000,2000,2379.5599999999704,11897.799999999852,0.15879742473398384,0,0,0,0,0,0.0,49224.79999999588,si,169.9528250694275,True
12,26000,2000,2341.19999999999,11705.999999999949,0.3974566954593748,0,0,0,0,0,0.0,68953.99999999834,si,184.53252291679382,True
13,28000,2000,2031.9200000000164,10159.600000000082,0.39451494639907314,0,0,0,0,0,0.0,71545.59999999797,si,199.4508409500122,True
14,30000,2000,1949.3200000000093,9746.600000000046,0.48040312039186284,0,0,0,0,0,0.0,90471.59999999842,si,214.65647315979004,True
15,32000,2000,3579.639999999998,17898.19999999999,0.5303569291071792,0,0,0,0,0,0.0,101021.19999999831,si,229.84616494178772,True
16,34000,2000,2201.2799999999916,11006.399999999958,0.43142644249194806,0,0,0,0,0,0.0,84590.39999999698,si,249.8314700126648,True
17,36000,2000,2250.2400000000657,11251.200000000328,0.4016846484496117,0,0,0,0,0,0.0,67979.19999999534,si,274.3113090991974,True
18,38000,2000,3080.9600000000037,15404.800000000017,0.4126091980151503,0,0,0,0,0,0.0,114000.80000000026,si,299.7612500190735,True
19,40000,2000,2476.599999999984,12382.99999999992,0.49702403432007336,0,0,0,0,0,0.0,88025.99999999811,si,325.0284421443939,True
20,42000,2000,1297.68000000001,6488.400000000051,0.4538144184160502,0,0,0,0,0,0.0,110038.40000000224,si,350.1592471599579,True
21,44000,2000,2028.3600000000229,10141.800000000114,0.288625426395001,0,0,0,0,0,0.0,53266.799999996554,si,373.113135099411,True
22,46000,2000,1642.2399999999914,8211.199999999957,0.6018519840015777,0,0,0,0,0,0.0,55991.19999999711,si,398.33708095550537,True
23,48000,2000,2000.0400000000204,10000.200000000103,0.5236880877457837,0,0,0,0,0,0.0,106199.20000000249,si,424.7509479522705,True
24,50000,2000,2633.6800000000285,13168.400000000142,0.2729167894369373,0,0,0,0,0,0.0,97852.40000000008,si,449.9501779079437,True
25,52000,2000,2915.4799999999987,14577.399999999994,0.3489682614005334,0,0,0,0,0,0.0,93698.3999999998,si,474.80047512054443,True
26,54000,2000,2028.8799999999635,10144.399999999818,0.3056983210610249,0,0,0,0,0,0.0,130708.39999999964,si,498.5166871547699,True
27,56000,2000,2583.6000000000154,12918.000000000076,0.2514484163109527,0,0,0,0,0,0.0,67795.99999999872,si,539.9881529808044,True
28,58000,2000,2716.800000000051,13584.000000000256,0.29670454825994463,0,0,0,0,0,0.0,79715.99999999946,si,585.3821051120758,True
29,60000,2000,3046.1599999999867,15230.799999999934,0.3587003993311444,0,0,0,0,0,0.0,72660.80000000098,si,631.9958992004395,True
30,62000,2000,3231.0400000000054,16155.200000000026,0.39348986485816484,0,0,0,0,0,0.0,99379.19999999722,si,677.3132531642914,True
31,64000,2000,2484.640000000032,12423.20000000016,0.29638172252980866,0,0,0,0,0,0.0,66689.20000000087,si,720.2146501541138,True
32,66000,2000,2646.9600000000146,13234.800000000074,0.6467381715187821,0,0,0,0,0,0.0,74036.79999999821,si,769.363233089447,True
33,68000,2000,907.2000000000146,4536.000000000073,0.31317794486215633,0,0,0,0,0,0.0,89146.00000000033,si,832.4777419567108,True
34,70000,2000,3129.7600000000302,15648.80000000015,0.37576535451269044,0,0,0,0,0,0.0,88706.7999999986,si,903.6833808422089,True
35,72000,2000,1814.0400000000318,9070.200000000159,0.5125304149995347,0,0,0,0,0,0.0,109305.19999999795,si,977.04678606987,True
36,74000,2000,3390.4800000000405,16952.4000000002,0.35207143604294777,0,0,0,0,0,0.0,92854.40000000267,si,1046.4509749412537,True
37,76000,2000,3888.3199999999806,19441.599999999904,0.2349048000941314,0,0,0,0,0,0.0,169855.60000000166,si,1103.704027891159,True
38,78000,2000,2930.6400000000526,14653.200000000263,0.41103980298240894,0,0,0,0,0,0.0,133341.19999999678,si,1160.7166998386383,True
39,80000,2000,3693.1200000000617,18465.600000000308,0.38852648508944676,0,0,0,0,0,0.0,112227.60000000655,si,1216.9875807762146,True
40,82000,2000,3802.320000000002,19011.60000000001,0.3764849937337653,0,0,0,0,0,0.0,74845.59999999685,si,1272.4186880588531,True
41,84000,2000,917.6399999999776,4588.199999999888,0.3371937922897963,0,0,0,0,0,0.0,14639.200000001223,si,1329.018751859665,True
42,86000,2000,2111.6799999999903,10558.399999999952,0.34285665581855884,0,0,0,0,0,0.0,31748.399999999623,si,1381.408000946045,True
43,88000,2000,3891.3600000000465,19456.800000000232,0.5275964326712603,0,0,0,0,0,0.0,103464.79999999885,si,1439.807904958725,True
44,90000,2000,4113.560000000025,20567.800000000127,0.49537549836335115,0,0,0,0,0,0.0,114832.79999999706,si,1502.133231163025,True
45,92000,2000,3783.8400000000156,18919.200000000077,0.3567875474549027,0,0,0,0,0,0.0,87219.20000000017,si,1565.707592010498,True
46,94000,2000,3980.4799999999655,19902.399999999827,0.5672901815473266,0,0,0,0,0,0.0,176970.39999999787,si,1627.9016659259796,True
47,96000,2000,4216.080000000005,21080.400000000027,0.45323189874763226,0,0,0,0,0,0.0,89314.39999999922,si,1682.0245139598846,True
48,98000,2000,3403.519999999994,17017.59999999997,0.40644406945616307,0,0,0,0,0,0.0,161255.60000000053,si,1736.915745973587,True
49,100000,2000,5072.719999999988,25363.59999999994,0.2776227286058399,0,0,0,0,0,0.0,144903.5999999991,si,1791.9069318771362,True
50,102000,2000,5093.51999999999,25467.59999999995,0.37054041500898394,0,0,0,0,0,0.0,127135.59999999986,si,1847.1315791606903,True
51,104000,2000,3001.44000000003,15007.20000000015,0.43231643034003,0,0,0,0,0,0.0,215025.19999999288,si,1900.5533728599548,True
52,106000,2000,4145.959999999989,20729.799999999945,0.28651666356261907,0,0,0,0,0,0.0,182210.7999999961,si,1954.4189109802246,True
53,108000,2000,5307.399999999983,26536.999999999916,0.5150296058644779,0,0,0,0,0,0.0,178633.9999999956,si,2002.4245619773865,True
54,110000,2000,2875.3600000000174,14376.800000000087,0.5404436351863904,0,0,0,0,0,0.0,94092.80000000374,si,2055.0657579898834,True
55,112000,2000,5379.5199999999695,26897.599999999846,0.5292544559571204,0,0,0,0,0,0.0,180539.59999999494,si,2106.0842599868774,True
56,114000,2000,3637.160000000018,18185.80000000009,0.4974658434100403,0,0,0,0,0,0.0,84476.79999999948,si,2158.351572036743,True
57,116000,2000,5801.440000000002,29007.20000000001,0.5069372186985701,0,0,0,0,0,0.0,173207.19999999364,si,2211.890732049942,True
58,118000,2000,-3025.00000000002,-15125.0000000001,0.38317633765864834,0,0,0,0,0,0.0,206499.99999999735,si,2259.7923760414124,True
59,120000,2000,4842.2,24211.0,0.4437058059607908,0,0,0,0,0,0.0,111972.00000000097,si,2313.4685599803925,True
60,122000,2000,4996.159999999976,24980.79999999988,0.46337671282837967,0,0,0,0,0,0.0,143140.79999999824,si,2367.4690947532654,True
61,124000,2000,-6130.840000000014,-30654.20000000007,0.4285356005429668,0,0,0,0,0,0.0,218954.79999999763,si,2420.2620890140533,True
62,126000,2000,2516.1999999999653,12580.999999999827,0.3160305200507365,0,0,0,0,0,0.0,187741.9999999957,si,2473.093721151352,True
63,128000,2000,1254.5999999999688,6272.999999999844,0.3537236704252422,0,0,0,0,0,0.0,204051.99999999464,si,2519.6289777755737,True
64,130000,2000,3400.360000000013,17001.800000000065,0.28151986291315345,0,0,0,0,0,0.0,171654.79999999912,si,2571.3713159561157,True
65,132000,2000,4969.560000000007,24847.800000000032,0.29524617173870915,0,0,0,0,0,0.0,203000.7999999965,si,2623.859505176544,True
66,134000,2000,5784.160000000053,28920.800000000265,0.3057185983409427,0,0,0,0,0,0.0,187220.79999999644,si,2676.2271490097046,True
67,136000,2000,5522.360000000009,27611.800000000043,0.2799256100433474,0,0,0,0,0,0.0,118940.79999999882,si,2729.2196519374847,True
68,138000,2000,10148.880000000545,50744.40000000272,0.24512623649877785,0,0,0,0,0,0.0,225002.39999998175,si,2783.0382828712463,True
69,140000,2000,1390.360000000209,6951.800000001045,0.41965891236495945,0,0,0,0,0,0.0,219114.79999998954,si,2831.99346780777,True
70,142000,2000,4536.760000000075,22683.800000000374,0.33366338172393184,0,0,0,0,0,0.0,82060.79999999836,si,2886.795909166336,True
71,144000,2000,-116.35999999996466,-581.7999999998233,0.3555365379213693,0,0,0,0,0,0.0,158901.20000000537,si,2941.013258934021,True
72,146000,2000,-2250.5999999999817,-11252.999999999909,0.5776537500466188,0,0,0,0,0,0.0,122602.00000000064,si,2995.2666940689087,True
73,148000,2000,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,si,3048.511705160141,True
74,150000,2000,11.440000000000001,57.2,0.39828030954428195,0,0,0,0,0,0.0,159.2,si,3096.325772047043,True
75,152000,2000,11.680000000000003,58.40000000000002,0.20197628458498018,0,0,0,0,0,0.0,162.39999999999998,si,3149.5392990112305,True
76,154000,2000,92.95999999999995,464.7999999999998,0.3614473561503313,0,0,0,0,0,0.0,1292.7999999999997,si,3201.6418600082397,True
77,156000,2000,547.8399999999995,2739.199999999997,0.41364288786953396,0,0,0,0,0,0.0,11803.20000000009,si,3253.286950826645,True
78,158000,2000,1299.2399999999773,6496.199999999886,0.30509616001319206,0,0,0,0,0,0.0,18617.200000000692,si,3305.6262760162354,True
79,160000,2000,3821.120000000143,19105.600000000715,0.25630551544489544,0,0,0,0,0,0.0,58205.599999995226,si,3353.2643690109253,True
80,162000,2000,3911.360000000105,19556.800000000527,0.28245915802415356,0,0,0,0,0,0.0,60012.79999999592,si,3404.2299740314484,True
81,164000,2000,4674.440000000092,23372.200000000463,0.31652875356817445,0,0,0,0,0,0.0,148337.2000000062,si,3455.902671098709,True
82,166000,2000,4227.520000000086,21137.600000000428,0.35082883318168134,0,0,0,0,0,0.0,113645.600000001,si,3507.523185968399,True
83,168000,2000,1899.6400000000315,9498.200000000157,0.22665321876698785,0,0,0,0,0,0.0,27223.1999999997,si,3559.409569978714,True
84,170000,2000,5191.8800000000965,25959.40000000048,0.2878329518581164,0,0,0,0,0,0.0,87108.39999999852,si,3613.6596670150757,True
85,172000,2000,4373.64000000027,21868.20000000135,0.4160791368717782,0,0,0,0,0,0.0,69455.19999999415,si,3662.331217765808,True
