step,loss/policy,loss/value,loss/entropy,diagnostics/clipfrac,diagnostics/approx_kl,charts/steps,charts/sps
256,-0.009270726392666498,710.2068481445312,2.0794168512026467,0.0,2.563844706552724e-05,256,161.1917099316767
512,-0.0012716701021417975,74.70438130696614,2.078765590985616,0.0,0.0002294791726550708,512,161.925510531082
768,0.004177915242811044,124.09513473510742,2.0773953199386597,0.0,0.0003911090122225384,768,160.58093587556223
1024,-0.0009059164052208265,35.1351105372111,2.0743592182795205,0.0,0.0005286702847418686,1024,158.89985030373225
1280,-0.0022632994999488196,338.7845509847005,2.0714795192082724,0.0,0.00035669669159688056,1280,157.28798209591366
1536,-0.006251136772334576,46.28469594319662,2.0684199134508767,0.0,0.0007983489776961505,1536,155.7118287581744
1792,0.00034227998306353885,81.33133633931477,2.0586944222450256,0.0,0.00039474658357600373,1792,154.8143572586236
2048,0.008491954766213894,190.5303471883138,2.050992012023926,0.0,0.0006176431488711387,2048,154.6792669825173
2304,0.0028318035571525493,148.4608497619629,2.0435152848561606,0.0,0.0005521191051229835,2304,154.34961716690992
2560,-0.009907309586803118,103.22627639770508,2.036753217379252,0.0,0.0006043363731199255,2560,153.90756972714598
2816,-0.005330153197670977,25.596147537231445,2.0287296970685325,0.0,0.0012955711184379954,2816,153.16208128095553
3072,-0.007197275602569182,32.066704432169594,2.0083392759164176,0.0,0.001654933226139595,3072,152.54992410983067
3328,0.005285889996836583,144.99080657958984,1.9765902658303578,0.0,0.001733493331509332,3328,152.32114766149314
3584,0.012751496707399687,184.35396830240884,1.9599313735961914,0.0,0.0011218549916520715,3584,151.79711466654038
3840,-0.0214598070209225,273.5571098327637,1.931498606999715,0.0,0.0011912234088716407,3840,151.64150927621418
4096,-0.008681426911304394,104.54067484537761,1.8894430100917816,0.00146484375,0.0028471431287471205,4096,151.468961084471
4352,-0.0013861783469716709,49.203606923421226,1.8517074187596638,0.0006510416666666666,0.0016511343710590154,4352,151.74954609466582
4608,-0.0022252225317060947,53.077539126078285,1.8469570974508922,0.0,0.000661116976213331,4608,151.69994341358688
4864,-0.006808053934946656,60.599769592285156,1.8718146582444508,0.0,0.0007633274944964796,4864,151.78709977833205
5120,-0.005221301534523566,17.49791685740153,1.9103197753429413,0.00146484375,0.0013555452945486952,5120,151.6535177651885
5376,0.006443763306985299,78.26895872751872,1.919617474079132,0.0,0.0008586585172452033,5376,151.58702906259845
5632,0.00752002668256561,50.3328971862793,1.8867787619431813,0.00048828125,0.0017604155485363056,5632,151.48145002296656
5888,0.00657669611973688,26.16257842381795,1.884867787361145,0.0037434895833333335,0.0015541520163727303,5888,151.268764510565
6144,-0.006701347456934552,57.19664732615153,1.8849963545799255,0.00244140625,0.001896906488885482,6144,151.1672992267549
6400,-0.004738837790985902,7.9728482365608215,1.892862508694331,0.0,0.0007115682431807121,6400,151.25193663820428
6656,-0.000423870204637448,68.01597944895427,1.9171188573042552,0.00048828125,0.0010292735241819173,6656,151.04845863525333
6912,-0.01567541326706608,26.15787680943807,1.8893904189268749,0.0030924479166666665,0.0011073984981824954,6912,150.89815854984846
7168,-0.021285294089466333,36.790740648905434,1.8620644112428029,0.00016276041666666666,0.0010054405720438808,7168,150.69195058770057
7424,0.0031825771244863668,9.277156194051107,1.8771929641564686,0.01318359375,0.0014685055648442358,7424,150.5116400139504
7680,0.004775559219221274,24.7672537167867,1.7771058082580566,0.00016276041666666666,0.0022345411222583302,7680,150.35358377176198
7936,0.027339008714382846,53.24202903111776,1.7476989328861237,0.0017903645833333333,0.0019148098848139246,7936,150.18721648386764
8192,-0.007357440112779538,23.51188786824544,1.7651429573694866,0.0,0.0005798091685088972,8192,150.20698062268858
8448,-0.005033686524257064,0.8307260473569235,1.8024194538593292,0.014485677083333334,0.002182587234225745,8448,150.13083187649124
8704,-0.0007485732591400543,17.17517836888631,1.7551065584023793,0.0146484375,0.0020428184749713787,8704,150.08237775807734
8960,0.026388816845913727,13.967198451360067,1.7046804229418437,0.00244140625,0.0010087553140086432,8960,149.96473540797746
9216,-0.0054401135227332515,1.5109982987244923,1.7739006876945496,0.006673177083333333,0.002667005464900285,9216,149.9489312993703
9472,0.0015947973200430472,9.196455558141073,1.7124104897181194,0.004720052083333333,0.001064718991983682,9472,149.70593480803524
9728,-0.004432359089454015,0.8798559159040451,1.6879387497901917,0.010091145833333334,0.0014106000501972933,9728,149.57438276411378
9984,-0.003926124423742294,1.7855173349380493,1.6195796032746632,0.02587890625,0.002925598828975732,9984,149.35637477941623
10240,-0.0028640283659721413,2.1290795107682547,1.4534794986248016,0.028483072916666668,0.0039007811283227056,10240,149.31675542934545
10496,-0.009086838302512964,2.444405436515808,1.4430127143859863,0.015462239583333334,0.0019047241366934031,10496,149.13847446501714
10752,0.0031729447655379772,10.129361748695374,1.4009285867214203,0.0011393229166666667,0.0016543654880175989,10752,149.0720807004296
11008,-3.739073872566223e-05,1.7391405999660492,1.4243881305058796,0.005859375,0.0012016830830058705,11008,148.98416535331683
11264,0.025009061287467677,2.2168447375297546,1.369049996137619,0.01171875,0.0014104127573470275,11264,148.9927310041636
11520,-0.0007191820380588373,2.490571598211924,1.4399985174338024,0.040852864583333336,0.004686665255576372,11520,148.97898826436688
11776,-0.02065274367729823,1.191410352786382,1.4082921147346497,0.0017903645833333333,0.0029919945906537273,11776,148.91709217868302
