step,loss/policy,loss/value,loss/entropy,diagnostics/clipfrac,diagnostics/approx_kl,charts/steps,charts/sps
256,0.0070440311295290785,813.0176289876302,2.0794082283973694,0.0,3.0256283935159445e-05,256,156.2030994713276
512,-0.006628132114807765,1702.4792378743489,2.0788524746894836,0.0,0.0001866451542203625,512,155.34546910782626
768,-0.0078856919426471,495.62053934733075,2.0763068000475564,0.0,0.0007288859536250433,768,154.54187069507358
1024,-0.004805010898659627,133.68304316202799,2.071668008963267,0.0,0.0007600822815826783,1024,153.6131719058218
1280,-0.000844812331100305,364.08442942301434,2.0670737425486245,0.0,0.0005892616463825107,1280,152.17810355060757
1536,0.00770439471428593,276.61188379923504,2.061957915623983,0.0,0.00043246035541718203,1536,150.64040004970178
1792,-0.014193617894003788,25.004085381825764,2.0614104866981506,0.0,0.0006796206871513277,1792,149.76091307341184
2048,-0.0017839537467807531,342.659423828125,2.050040523211161,0.0,0.0006010744837112725,2048,149.27095254464774
2304,0.006109343531231086,30.021496136983234,2.0426138440767923,0.0,0.0005304045722975085,2304,149.97908643568337
2560,0.0010397636021176975,68.44908777872722,2.0426623225212097,0.0,0.0002942458668258041,2560,149.96332822269318
2816,0.000624130479991436,161.10670725504556,2.0374431212743125,0.0,0.0008396581106353551,2816,149.60348411925628
3072,-0.0014914748414109151,99.1935240427653,2.02102130651474,0.0,0.0014351563392362248,3072,149.2401220963758
3328,-0.0005943449214100838,326.03268178304035,2.002392053604126,0.0,0.0008677962662962576,3328,149.15125344638588
3584,0.00555968548481663,140.17850049336752,1.9932848413785298,0.0,0.0007775786216370761,3584,148.73621377951258
3840,-0.004966077511198819,41.98137410481771,1.9801068305969238,0.0,0.0012715929672898103,3840,148.4605274775763
4096,-0.0023987797709802785,17.59410524368286,1.9495499034722645,0.00537109375,0.002250775597834339,4096,148.47013996450622
4352,-0.004913784097880125,79.72607040405273,1.8939118484656017,0.0009765625,0.0025212609325535595,4352,148.6198903750661
4608,-0.0009411582723259926,61.30232206980387,1.838285227616628,0.0,0.0006909611596105,4608,148.48437140826323
4864,-0.006284563646962245,9.09585722287496,1.8539463380972545,0.0021158854166666665,0.0016116990591399372,4864,148.39759675713367
5120,0.003108355915173888,142.88910992940268,1.835705538590749,0.015787760416666668,0.002255815479050701,5120,147.95797275350583
5376,-0.008326372752587,51.12258338928223,1.8296443621317546,0.0,0.000840317428810522,5376,147.48728838761068
5632,0.003886327457924684,0.910982072353363,1.8568157653013866,0.0017903645833333333,0.0009233866876456887,5632,147.02316773522156
5888,-0.00563771789893508,8.962231198946634,1.848161369562149,0.017740885416666668,0.0023078946687746793,5888,146.61170201255817
6144,0.0009217245193819205,8.343152085940043,1.8289609253406525,0.0,0.0006404010637197644,6144,146.5359906107984
6400,-0.0012835989085336526,2.4336468974749246,1.842262973388036,0.11539713541666667,0.006840346361665676,6400,146.3742715304295
6656,-0.009063152130693197,33.33783562978109,1.7071458101272583,0.018229166666666668,0.0038244427317598215,6656,146.2335396980556
6912,0.0019934425751368203,10.153385003407797,1.7194802860418956,0.00341796875,0.001394701743265614,6912,146.226518554634
7168,0.010944276349619031,2.0210115909576416,1.7046426236629486,0.008626302083333334,0.0018361837040477742,7168,146.28535270224214
7424,0.014818667240130404,15.315557479858398,1.5456409653027852,0.024251302083333332,0.004198919040694212,7424,146.0825659718958
7680,-0.0016521727666258812,1.5703093806902568,1.5076299210389454,0.00537109375,0.0011302674829494208,7680,145.93136769581838
7936,-0.00956469556937615,9.099535346031189,1.500256468852361,0.0006510416666666666,0.000754600555713599,7936,145.75097311751188
8192,-0.008701147938457629,2.7264140049616494,1.5303182204564412,0.015950520833333332,0.0026113943119222918,8192,145.84956711510372
8448,0.005469282468159993,2.461226443449656,1.5084202190240223,0.01318359375,0.0021147358250649026,8448,145.8996042494441
8704,-0.006329313851892948,3.294475555419922,1.5226128995418549,0.01416015625,0.0024113574569734433,8704,145.9037015208655
8960,0.0005616731165597836,2.779398719469706,1.3191231588522594,0.08544921875,0.009186659376913061,8960,145.79742783232783
9216,-0.01598572436099251,2.5822608272234597,1.406550794839859,0.010904947916666666,0.0021845660424636057,9216,145.7677808463094
9472,0.00896526186261326,1.7995806237061818,1.417370766401291,0.0048828125,0.0013369773514568806,9472,145.7461093512876
9728,-0.006659400183707476,1.9299456576506298,1.4132376213868458,0.009602864583333334,0.0012740834305683772,9728,145.64624431919546
9984,-0.01834648649673909,9.041174451510111,1.366127073764801,0.0185546875,0.0024472915392834693,9984,145.47273987104174
10240,-0.011099965001145998,4.157410720984141,1.260707547267278,0.0029296875,0.000677358970278874,10240,145.60643495978337
10496,0.0022938384984930358,1.8305415908495586,1.3854213058948517,0.013834635416666666,0.0010860250040423125,10496,145.53637737282963
10752,-0.021693145933871467,0.9536929428577423,1.3968728085358937,0.011555989583333334,0.002120401205805441,10752,145.24524825734892
11008,0.0015776805812492967,0.7302716920773188,1.4273881216843922,0.0107421875,0.0018403514210755627,11008,144.99002945862466
11264,-0.008694302678729096,1.46253036459287,1.3148388465245564,0.010091145833333334,0.0016712448462688674,11264,144.9166154150663
11520,0.0026395564588407674,1.6692851583162944,1.2161714831988018,0.02099609375,0.003570390302532663,11520,144.7259491092558
11776,0.001638552484412988,1.8715974589188893,1.190972129503886,0.0008138020833333334,0.0004934922035317868,11776,144.57052758699905
12032,-0.005329359943668048,2.2480138540267944,1.1741536657015483,0.006022135416666667,0.0009996947871210675,12032,144.3776558295536
12288,0.00501933041960001,2.812104602654775,1.0817484160264332,0.004069010416666667,0.0010032918168387066,12288,144.4115550174486
12544,-0.0077592179489632445,1.4695188800493877,1.2115478515625,0.0030924479166666665,0.0015583389322273433,12544,144.32237950854497
12800,-0.007161291937033336,1.6097121040026348,1.244799643754959,0.00634765625,0.0023800378548912704,12800,144.18036291177967
13056,-0.009550143498927355,1.112685889005661,1.231123258670171,0.00048828125,0.0003060140006709844,13056,143.90396867679766
13312,-0.00767044210806489,0.6512175152699152,1.2328645090262096,0.11311848958333333,0.008234332645467171,13312,143.71442154069874
13568,-0.015707255030671757,1.2700093189875286,1.2487753629684448,0.025390625,0.003290326906911408,13568,143.57005147308882
13824,-0.005942647190143664,1.5992947618166606,1.1887033085028331,0.007486979166666667,0.0035221001598984003,13824,143.34311813405154
14080,-0.019633810656766098,2.6903163393338523,1.1147453685601552,0.0021158854166666665,0.000891693188653638,14080,143.21631989822643
14336,0.022182405926287174,2.672919193903605,0.9915951987107595,0.011881510416666666,0.0027897964852551618,14336,143.22437934833735
14592,0.00044752579803268117,1.180587391058604,1.1180532574653625,0.02783203125,0.0016797355298573773,14592,143.19883819002243
14848,-0.0010286756635953982,0.6716927190621694,1.1958419680595398,0.02490234375,0.0033584578098574034,14848,143.07354110674333
15104,-0.013170666837443909,0.887892484664917,1.1128675639629364,0.103515625,0.009972731980572766,15104,143.02284587424478
15360,0.005713853985071182,1.643689860900243,1.0129116127888362,0.013020833333333334,0.0021379517080883184,15360,142.9554659899611
15616,0.011090035239855448,1.2710242370764415,0.9583814243475596,0.0,0.0006407122127711773,15616,142.87720754342342
15872,0.009492257765183846,0.8831890771786371,1.043474445740382,0.034830729166666664,0.0027704164967872202,15872,142.76969397976026
16128,0.004838226052622001,2.218104342619578,1.010435089468956,0.01025390625,0.0015646568887556593,16128,142.68980553724424
16384,-0.0027910579616824784,2.3747559785842896,0.9888732234636942,0.019205729166666668,0.00249458005419001,16384,142.63269365819164
16640,-0.019485578484212358,2.0253184835116067,1.0183641215165455,0.013997395833333334,0.004604924712718154,16640,142.57587132346976
16896,0.0016082733248670895,1.319785624742508,1.0274522304534912,0.0029296875,0.0034632445021998137,16896,142.45728495617362
17152,0.005765272459636132,1.2985613644123077,0.9653833409150442,0.030436197916666668,0.004843070967278133,17152,142.42839634811375
17408,0.0004926198162138462,1.8084347546100616,1.0407192806402843,0.007975260416666666,0.0012875512766186148,17408,142.34501113286245
17664,-0.011847867785642544,1.591241180896759,1.1226767500241597,0.014322916666666666,0.0016183962385791044,17664,142.2384077721138
17920,-0.0017777628575762112,1.4627414147059123,1.132577915986379,0.017578125,0.0018222472184182454,17920,142.12830144883154
18176,0.0036871180248757205,2.7719381848971048,1.009703169266383,0.005045572916666667,0.002007076827188333,18176,142.11698563734754
18432,-0.012960196395094195,2.0638676484425864,0.9024413824081421,0.09407552083333333,0.007594388540989409,18432,142.07709862263445
18688,-0.007590663153678179,1.2168229520320892,1.0038450211286545,0.07552083333333333,0.007073950798561175,18688,142.01694503821435
18944,0.0032448023557662964,1.5943902432918549,0.9855651259422302,0.018717447916666668,0.0043857079387332005,18944,141.97451726206
19200,-0.005381100345402956,1.1958583295345306,1.055422604084015,0.0693359375,0.005098047957289964,19200,141.94738158109536
19456,0.01743213242540757,2.3818491299947104,1.0057930052280426,0.024251302083333332,0.0027245508584504328,19456,141.94872383759687
19712,-0.00562095766266187,1.4594479699929555,0.9809896051883698,0.0030924479166666665,0.0014369523851200938,19712,141.85896385133867
19968,0.018890641707306106,0.800641342997551,0.9698069095611572,0.014973958333333334,0.0016557674292319764,19968,141.71850079218288
20224,0.00079493154771626,2.912044882774353,0.9958703964948654,0.17887369791666666,0.01229848803874726,20224,141.7311884920889
20480,-0.02314103441312909,2.2019336422284446,0.9666696687539419,0.012532552083333334,0.0062794042654180275,20480,141.72990877695327
20736,-0.0017707948572933674,1.3559805949529011,1.021644835670789,0.03662109375,0.0021731143933720887,20736,141.6625550134135
20992,-0.009027104824781418,0.9997066060702006,0.9556577901045481,0.2521158854166667,0.014924885229750847,20992,141.59358020119254
21248,-8.080775539080302e-05,1.2316275934378307,0.963822677731514,0.011393229166666666,0.0016425121769619484,21248,141.56092781550547
21504,0.009213132473329702,1.240805188814799,1.0482066174348195,0.08902994791666667,0.006333485973300412,21504,141.45915763379534
21760,-0.00038680977498491603,1.680791328350703,1.018115609884262,0.11442057291666667,0.009538648892582083,21760,141.37792529739178
22016,-0.010668681856865684,1.7298794984817505,1.0817723274230957,0.07047526041666667,0.007355724946440508,22016,141.26565466373776
22272,0.009813876201709112,2.2585433522860208,0.8819339325030645,0.019205729166666668,0.004283800323416169,22272,141.34073978041346
22528,-0.0031262418099989495,1.6079054474830627,0.9293482551972071,0.0,0.0009264047063576678,22528,141.31070206887279
22784,-0.0008969008922576904,1.6004136006037395,0.9812271595001221,0.055826822916666664,0.0051726866998554515,22784,141.31836783855147
