episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,ia_penalty_sum,si_bonus_sum,condition,time_seconds,time_limit
0,2000,2000,858.3600000000002,4291.800000000001,0.3530080618854554,0,0,0,0,0,0.0,13514.800000000681,si,17.138593912124634,True
1,4000,2000,1003.3600000000055,5016.8000000000275,0.18171742943708602,0,0,0,0,0,0.0,15786.800000000909,si,36.73709487915039,True
2,6000,2000,1363.359999999992,6816.799999999959,0.29509621502226624,0,0,0,0,0,0.0,21914.799999999854,si,56.18945097923279,True
3,8000,2000,1544.719999999988,7723.59999999994,0.4365799488844988,0,0,0,0,0,0.0,25255.600000000115,si,75.50561380386353,True
4,10000,2000,1419.679999999989,7098.399999999945,0.2001549644990417,0,0,0,0,0,0.0,22780.400000000496,si,95.3441379070282,True
5,12000,2000,1341.7599999999943,6708.799999999972,0.3685129978535593,0,0,0,0,0,0.0,22658.80000000008,si,112.98481297492981,True
6,14000,2000,1443.879999999992,7219.39999999996,0.23481729783638228,0,0,0,0,0,0.0,24168.400000000183,si,132.16982507705688,True
7,16000,2000,1787.479999999985,8937.399999999925,0.3767025417070162,0,0,0,0,0,0.0,29706.399999999216,si,151.5948610305786,True
8,18000,2000,1741.1199999999849,8705.599999999924,0.2912585002756789,0,0,0,0,0,0.0,29645.59999999919,si,171.79321599006653,True
9,20000,2000,1417.7199999999943,7088.599999999971,0.2025618598877048,0,0,0,0,0,0.0,22679.59999999957,si,191.14480781555176,True
10,22000,2000,2017.3999999999705,10086.999999999853,0.2127312382274209,0,0,0,0,0,0.0,32323.99999999931,si,208.76423406600952,True
11,24000,2000,1645.0799999999883,8225.399999999941,0.08133586208573496,0,0,0,0,0,0.0,27814.399999999612,si,228.17693996429443,True
12,26000,2000,2310.9599999999973,11554.799999999987,0.5004204027874619,0,0,0,0,0,0.0,41300.79999999794,si,247.70209884643555,True
13,28000,2000,2377.879999999969,11889.399999999845,0.3018909068975981,0,0,0,0,0,0.0,50716.39999999749,si,267.2228670120239,True
14,30000,2000,2279.5199999999877,11397.599999999939,0.19836281322383797,0,0,0,0,0,0.0,43023.599999999366,si,286.4752788543701,True
15,32000,2000,2503.399999999997,12516.999999999984,0.3773039068712436,0,0,0,0,0,0.0,52813.99999999522,si,304.2324318885803,True
16,34000,2000,2798.839999999983,13994.199999999915,0.4289762901773606,0,0,0,0,0,0.0,57821.19999999522,si,323.67985582351685,True
17,36000,2000,2691.1199999999785,13455.599999999893,0.3491646600671834,0,0,0,0,0,0.0,48379.59999999618,si,342.973345041275,True
18,38000,2000,3404.4799999999836,17022.399999999918,0.4619835066579052,0,0,0,0,0,0.0,65698.39999999585,si,362.8853769302368,True
19,40000,2000,3280.319999999991,16401.599999999955,0.2623695249243978,0,0,0,0,0,0.0,87475.59999999865,si,382.3791937828064,True
20,42000,2000,1911.2399999999761,9556.19999999988,0.3965076823363449,0,0,0,0,0,0.0,50507.19999999637,si,402.14463210105896,True
21,44000,2000,2529.2000000000007,12646.000000000004,0.45624575108202303,0,0,0,0,0,0.0,72799.99999999972,si,420.15280199050903,True
22,46000,2000,2913.9999999999955,14569.999999999978,0.29008209885779834,0,0,0,0,0,0.0,63859.999999996115,si,439.5843939781189,True
23,48000,2000,2699.320000000001,13496.600000000006,0.29255368018612127,0,0,0,0,0,0.0,69193.59999999893,si,459.37546968460083,True
24,50000,2000,3573.119999999987,17865.599999999937,0.3089904621171422,0,0,0,0,0,0.0,94529.60000000038,si,478.8592939376831,True
25,52000,2000,-3012.7199999999916,-15063.599999999959,0.4178987890566601,0,0,0,0,0,0.0,156356.40000000232,si,498.50188398361206,True
26,54000,2000,2658.1600000000376,13290.800000000188,0.3101086556534651,0,0,0,0,0,0.0,131070.80000000342,si,516.1233839988708,True
27,56000,2000,2853.080000000023,14265.400000000116,0.5115595980583911,0,0,0,0,0,0.0,97804.40000000146,si,535.8085298538208,True
28,58000,2000,2117.639999999996,10588.199999999979,0.37937418683819635,0,0,0,0,0,0.0,76147.19999999925,si,555.392068862915,True
29,60000,2000,1900.5200000000127,9502.600000000064,0.30297364868744814,0,0,0,0,0,0.0,75643.6000000014,si,575.0427148342133,True
30,62000,2000,1871.519999999991,9357.599999999955,0.5086299663833616,0,0,0,0,0,0.0,121861.59999999909,si,594.6137380599976,True
31,64000,2000,6010.160000000044,30050.80000000022,0.24479939901364922,0,0,0,0,0,0.0,101636.80000000015,si,612.434788942337,True
32,66000,2000,947.9599999999675,4739.799999999837,0.2130010336846686,0,0,0,0,0,0.0,14280.800000001207,si,631.9937138557434,True
33,68000,2000,167.56000000000245,837.8000000000122,0.2532701776921442,0,0,0,0,0,0.0,2842.7999999998447,si,651.7376079559326,True
34,70000,2000,11.679999999999998,58.39999999999999,0.20399648660518221,0,0,0,0,0,0.0,162.39999999999995,si,671.1533889770508,True
35,72000,2000,51.48,257.4,0.30269270521677627,0,0,0,0,0,0.0,716.4000000000005,si,690.9471170902252,True
36,74000,2000,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,si,710.7032179832458,True
37,76000,2000,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,si,728.3147850036621,True
38,78000,2000,5.720000000000001,28.6,0.2019663535066638,0,0,0,0,0,0.0,79.6,si,747.7028658390045,True
39,80000,2000,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,si,768.0863497257233,True
40,82000,2000,0.23999999999999994,1.1999999999999997,0.3999999999999999,0,0,0,0,0,0.0,3.2000000000000006,si,787.4395987987518,True
41,84000,2000,5.8400000000000025,29.200000000000014,0.20368906455862978,0,0,0,0,0,0.0,81.19999999999999,si,807.0857288837433,True
42,86000,2000,6.3200000000000065,31.600000000000033,0.20622335890878096,0,0,0,0,0,0.0,87.59999999999991,si,824.5927448272705,True
43,88000,2000,11.8,59.00000000000001,0.2045129334067144,0,0,0,0,0,0.0,164.0,si,843.9119439125061,True
44,90000,2000,0.23999999999999994,1.1999999999999997,0.3999999999999999,0,0,0,0,0,0.0,3.2000000000000006,si,863.3129637241364,True
45,92000,2000,22.24000000000001,111.20000000000005,0.3129947229551455,0,0,0,0,0,0.0,377.1999999999998,si,882.7789578437805,True
46,94000,2000,24.200000000000006,121.00000000000003,0.336802325581395,0,0,0,0,0,0.0,336.00000000000034,si,902.3632409572601,True
47,96000,2000,94.35999999999991,471.79999999999956,0.42755404832556154,0,0,0,0,0,0.0,1378.7999999999943,si,920.1409070491791,True
48,98000,2000,149.7199999999999,748.5999999999996,0.31268442323611056,0,0,0,0,0,0.0,2153.599999999995,si,939.7862799167633,True
49,100000,2000,124.03999999999996,620.1999999999998,0.3647284573162566,0,0,0,0,0,0.0,1929.1999999999916,si,959.273069858551,True
50,102000,2000,561.6000000000022,2808.000000000011,0.25813390313390316,0,0,0,0,0,0.0,8528.000000000126,si,979.2354140281677,True
