step,loss/policy,loss/value,loss/entropy,diagnostics/clipfrac,diagnostics/approx_kl,charts/steps,charts/sps
256,-0.0008076038987686237,198.7156130472819,2.19721382856369,0.0,1.019004654760162e-05,256,127.59756745788654
512,-0.003082964258889357,281.9725697835286,2.197127381960551,0.0,2.855016888740162e-05,512,119.01076325467184
768,0.006651439315949877,184.3790740966797,2.1970592538515725,0.0,3.6695865370954074e-05,768,122.18281723082717
1024,-0.005640487186610699,80.02907498677571,2.1966731548309326,0.0,0.00010253388124207656,1024,119.82871800932489
1280,0.0018152189441025257,294.70445760091144,2.1958847641944885,0.0,0.00016842197510413826,1280,118.19806110332034
1536,0.012479460798203945,286.8977635701497,2.1950050989786782,0.0,0.0001921540436645349,1536,116.05304704931733
1792,-0.010484286428739628,346.64281463623047,2.1930474638938904,0.0,0.00019828331035872301,1792,116.15187769700223
2048,0.011706930274764696,292.13977940877277,2.1909998854001365,0.0,0.00019931013230234385,2048,117.28195527192615
2304,0.0005556143199404081,333.2957407633464,2.1891957918802896,0.0,0.00020456641990070543,2304,118.02710424922063
2560,0.006590688833966851,421.3943328857422,2.18714306751887,0.0,0.00033064495073631406,2560,118.62180857815156
2816,-0.0035912420911093554,382.17588297526044,2.186197737852732,0.0,0.0002555632672738284,2816,119.34565620740266
3072,-0.004587046491603057,540.3439229329427,2.1847267349561057,0.0,0.0006769022050624093,3072,119.74492146861941
3328,-0.013798375613987446,181.9243621826172,2.178729852040609,0.0,0.000564135261811316,3328,120.06535658162117
3584,0.00017672210621337095,43.88120778401693,2.1680067777633667,0.0,0.0013473477447405457,3584,120.88177435226014
3840,0.0007830349107583364,168.32067362467447,2.1622621417045593,0.00016276041666666666,0.0015045004450560857,3840,121.1038320224783
4096,-0.0032602022401988506,366.3763885498047,2.1454328695933023,0.0,0.0013159128720872104,4096,121.42990744843082
4352,-0.008116299558120469,144.44016901652017,2.124767283598582,0.00390625,0.001276182020471121,4352,121.83762261765628
4608,-0.005969550771017869,198.55026499430338,2.084958533445994,0.00634765625,0.0015185328666120768,4608,122.30119628281264
4864,0.004185927954191963,343.6066182454427,2.084264039993286,0.0003255208333333333,0.00043370522325858474,4864,122.5214594941256
5120,-0.003534972512473663,671.8668060302734,2.0891586740811667,0.00016276041666666666,0.0005763040583891174,5120,122.6826785415187
5376,0.009197073833396038,79.9968630472819,2.0695448915163674,0.0,0.000702384354857107,5376,122.80993038024346
5632,-0.00037082983180880547,559.8946787516276,2.0813302199045816,0.0,0.0009484477826238921,5632,122.63477141221101
5888,0.007655533185849587,800.5031331380209,2.054512639840444,0.0,0.0010232605078878503,5888,122.53005122840781
6144,-0.003034234046936035,1271.5178629557292,2.0716197888056436,0.0,0.0007017005312566956,6144,122.65179938484872
6400,0.003536524639154474,294.1158917744954,2.052192131678263,0.00016276041666666666,0.0007894549344200641,6400,122.66893142219057
6656,-0.008841355641682943,544.1294606526693,2.048893709977468,0.0,0.0008389973954763263,6656,122.60936025275512
6912,0.005877754961450894,231.19654337565103,2.068084796269735,0.0,0.0004960372170899063,6912,122.69064848089316
7168,0.0032314263905088105,991.8635559082031,2.0104933083057404,0.001953125,0.001378626194006453,7168,122.45799939480482
7424,0.00995846938652297,289.84127044677734,2.017721732457479,0.0006510416666666666,0.0004759590859369685,7424,122.35913860569566
7680,0.0019763473343725004,314.1550013224284,2.0090180138746896,0.004231770833333333,0.002484758268110454,7680,122.37304888102865
7936,0.012131555161128441,489.66844431559247,1.9824340144793193,0.0022786458333333335,0.0006763018997541318,7936,122.40575929196554
8192,0.010068065176407496,858.6013844807943,2.009745021661123,0.00016276041666666666,0.0004134447663091123,8192,122.4029553428262
8448,0.00209380608672897,877.9297180175781,1.9961643715699513,0.0,0.0002227459141674141,8448,122.45419836666429
8704,-0.007504572005321582,618.3655497233073,1.994331141312917,0.00016276041666666666,0.00030197881278581917,8704,122.71345608476587
8960,-0.001318627968430519,1116.5262552897136,2.0023771623770394,0.0,0.0006263603669746468,8960,122.81857424789646
9216,-0.014865584981938204,581.6030629475912,1.9905040363470714,0.0008138020833333334,0.0010082538162047665,9216,122.87295860664113
9472,-0.011496119977285465,823.296875,1.9927290777365367,0.0037434895833333335,0.001009558802858616,9472,122.8268839495774
9728,-0.009778436816607913,156.93797810872397,1.9734224180380504,0.00016276041666666666,0.0005797705865309885,9728,122.92250034412687
9984,-0.007883500307798386,361.0762023925781,1.9802627166112263,0.0006510416666666666,0.0011406132252886891,9984,122.84928544362097
10240,0.0029643972714742026,921.2385915120443,1.9952419797579448,0.0,0.0006462732659808049,10240,122.7227588903458
10496,0.006534925661981106,410.5851058959961,1.953610857327779,0.0,0.0014637270069215447,10496,122.73852169210004
10752,-0.018665606311211985,333.2834930419922,1.886551131804784,0.006510416666666667,0.003127001808024943,10752,122.8454420876312
11008,0.006021491562326749,1320.3324279785156,1.8630310396353404,0.008138020833333334,0.001850168143088619,11008,122.95444038098475
11264,-0.00854688223140935,143.104611714681,1.9180319507916768,0.0,0.00046243006363511086,11264,123.14410748313277
11520,-0.012071747488031784,758.0716908772787,1.8957701921463013,0.0006510416666666666,0.0008064712261936317,11520,123.25911795852271
11776,0.014858022332191467,663.7880401611328,1.9169060786565144,0.0,0.0004057053107923518,11776,123.23733164789638
12032,-0.0018191345346470673,1278.7331136067708,1.8913098275661469,0.0009765625,0.0012038711283821613,12032,123.30042925600114
12288,-0.005491250505050023,1304.8736368815105,1.8782068888346355,0.00048828125,0.0003199818408271919,12288,123.38768262665218
12544,-0.005968139196435611,485.67306264241535,1.872906893491745,0.0003255208333333333,0.000497276516398415,12544,123.4008591619583
12800,-0.016254719191541273,445.46034240722656,1.8508536020914714,0.00016276041666666666,0.000547317904420197,12800,123.42284563819871
13056,0.017070545659710962,1120.4834696451824,1.904097447792689,0.0,0.0005024684263238063,13056,123.4052383730738
13312,0.001864143181592226,1743.1267700195312,1.915236383676529,0.00048828125,0.0010998481496547659,13312,123.38421570071957
13568,-0.012851066809768477,860.6970011393229,1.847660392522812,0.0006510416666666666,0.0006331076341060301,13568,123.36095015028393
13824,-0.004773465916514397,552.0987192789713,1.8538613120714824,0.0,0.0008249394789648553,13824,123.360914921338
14080,-0.004795790494730075,1693.050313313802,1.8569349348545074,0.0006510416666666666,0.001566714180322985,14080,123.30913905299748
14336,-0.005746215581893921,557.7945353190104,1.7926154335339863,0.0166015625,0.001756384134447823,14336,123.37310131085565
14592,0.0008754830341786146,1787.0811157226562,1.7732367316881816,0.0,0.0008582065347582102,14592,123.39082247098403
14848,-0.005362089878569047,4869.629964192708,1.7366999884446461,0.0006510416666666666,0.0010200449614785612,14848,123.37260736690008
15104,-0.011644534960699579,820.5984446207682,1.7924562394618988,0.06624348958333333,0.007314884433678041,15104,123.34367200250054
15360,-0.007404191652312875,1565.5221557617188,1.7934591472148895,0.024739583333333332,0.004029756033560261,15360,123.3101742015569
15616,0.003219820559024811,528.5518646240234,1.6557364563147228,0.00390625,0.0035350436519365758,15616,123.183203786907
15872,-0.00531060512488087,1870.5359497070312,1.6262451310952504,0.0,0.0010324788551467161,15872,123.30625894815316
16128,0.01736361812800169,3097.7313842773438,1.7168037593364716,0.0,0.0005358515093879154,16128,123.47157046184137
16384,-0.00022509841558833918,3411.7891438802085,1.7521129945913951,0.0,0.00040778722420024377,16384,123.4463814382653
16640,0.006229307812949021,3790.9073486328125,1.585919737815857,0.00016276041666666666,0.0005674542723378787,16640,123.47385713969973
16896,0.007843868186076483,3735.043253580729,1.516725520292918,0.0,0.00025600923496919375,16896,123.47620957343872
17152,0.013698412260661522,1967.6214701334636,1.4794202248255413,0.0003255208333333333,0.001257913128938526,17152,123.4010546038676
17408,-0.00235516345128417,1245.233907063802,1.3974324067433674,0.005696614583333333,0.0018907820922322571,17408,123.25819396292755
17664,-0.0024574382696300745,3343.1825968424478,1.2924465139706929,0.04345703125,0.0035211963986512274,17664,123.29019750834411
17920,0.005305899462352197,5150.438151041667,1.247861623764038,0.0,0.0007499745988752693,17920,123.29858032593222
18176,-0.00523081561550498,4060.7164713541665,1.371114432811737,0.0,0.00024834837919722,18176,123.28132011366421
18432,0.001083433162420988,3727.2388509114585,1.405314991871516,0.0,0.00015091674868017435,18432,123.36249297649422
18688,0.007414803995440404,1878.8308919270833,1.330508142709732,0.020182291666666668,0.0024615138148268065,18688,123.37520545068556
18944,0.010783672526789209,2151.150634765625,1.3582791984081268,0.036946614583333336,0.005643203641132762,18944,123.20329227691163
19200,-0.00629316084086895,212.7339210510254,1.326488604148229,0.0673828125,0.0065446819353383034,19200,123.04319764376447
19456,-0.008108407879869143,3093.899617513021,1.361590435107549,0.048990885416666664,0.005153452385760223,19456,122.68907880212727
19712,-0.0004828493498886625,2059.2408548990884,1.3955288032690685,0.0,0.0012910994604074706,19712,122.49551474506238
19968,-0.0014647094843288262,1401.5999247233074,1.2093795041243236,0.0008138020833333334,0.0018525552101588498,19968,122.49633035408552
20224,-0.0030025839805603027,9467.222493489584,1.3319917718569438,0.0,0.0008175236483414968,20224,122.46430948898094
20480,0.0033317345660179853,9303.079264322916,1.3518262207508087,0.0,0.00023538628981138268,20480,122.46198444544746
20736,0.0176561886134247,1904.356953938802,1.340645472208659,0.006673177083333333,0.0014581759460270405,20736,122.49891918154742
20992,0.002702817010382811,4387.772216796875,1.2693308889865875,0.050618489583333336,0.0038295284709117063,20992,122.5278525133363
21248,0.003785268714030584,13083.489339192709,1.2467456758022308,0.00634765625,0.002557555252375702,21248,122.56400448009822
21504,0.004201274675627549,2456.1596476236978,1.2921062608559926,0.0003255208333333333,0.0005862693457553784,21504,122.46796899304937
21760,-0.011574436444789171,2182.9450480143228,1.2351456483205159,0.0021158854166666665,0.0006246780103538185,21760,122.47763140008948
22016,-0.002781870619704326,5305.604248046875,1.2726774613062541,0.030110677083333332,0.0015671785610417526,22016,122.47059506467298
22272,0.006334318934629361,3953.3811848958335,1.2529682318369548,0.0,0.00018483370270890495,22272,122.46667086182897
22528,0.002772651923199495,5593.2244873046875,1.2707161903381348,0.0006510416666666666,0.0003209469044425835,22528,122.49899747763193
22784,0.00181542228286465,2420.815226236979,1.1793444554011028,0.0003255208333333333,0.000312357956621175,22784,122.46093648316531
23040,-0.0008548737193147341,6706.254638671875,1.0925262073675792,0.0,0.000261514166292424,23040,122.44321794202101
23296,0.006252966433142622,4519.618245442708,1.0823156237602234,0.0008138020833333334,0.0004528782640894254,23296,122.40707812063081
23552,-0.009148821389923492,1592.4354248046875,1.0904612441857655,0.0017903645833333333,0.0006676560830480108,23552,122.39064079492145
