episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,time_seconds,time_limit
0,2000,2000,-1667.2,-8336.0,0.4686003683241253,0,0,0,0,0,22.2896671295166,True
1,4000,2000,-1022.8,-5114.0,0.2597235615557698,0,0,0,0,0,47.949044942855835,True
2,6000,2000,-514.0,-2570.0,0.24934579439252347,0,0,0,0,0,72.33327317237854,True
3,8000,2000,-444.0,-2220.0,0.5092682926829268,0,0,0,0,0,96.23009991645813,True
4,10000,2000,-397.8,-1989.0,0.582312925170068,0,0,0,0,0,122.81202507019043,True
5,12000,2000,-92.0,-460.0,0.3104273504273505,0,0,0,0,0,147.5805160999298,True
6,14000,2000,-0.8,-4.0,0.4816326530612245,0,0,0,0,0,171.59696006774902,True
7,16000,2000,-14.0,-70.0,0.48,0,0,0,0,0,195.40554213523865,True
8,18000,2000,-57.6,-288.0,0.476534296028881,0,0,0,0,0,219.17145419120789,True
9,20000,2000,11.4,57.0,0.2583333333333333,0,0,0,0,0,243.34512209892273,True
10,22000,2000,24.4,122.0,0.236764705882353,0,0,0,0,0,264.8671820163727,True
11,24000,2000,36.0,180.0,0.14888888888888885,0,0,0,0,0,289.23971605300903,True
12,26000,2000,8.2,41.0,0.29268292682926833,0,0,0,0,0,313.9389650821686,True
13,28000,2000,-20.0,-100.0,0.40266666666666673,0,0,0,0,0,340.0893301963806,True
14,30000,2000,-0.4,-2.0,0.40000000000000013,0,0,0,0,0,366.39008831977844,True
15,32000,2000,-41.2,-206.0,0.3397993311036789,0,0,0,0,0,388.84224104881287,True
16,34000,2000,-11.0,-55.0,0.20307692307692315,0,0,0,0,0,411.91678524017334,True
17,36000,2000,-0.8,-4.0,0.40000000000000013,0,0,0,0,0,436.11163306236267,True
18,38000,2000,0.0,0.0,0.32000000000000006,0,0,0,0,0,460.3182101249695,True
19,40000,2000,4.8,24.0,0.4833333333333334,0,0,0,0,0,488.6674449443817,True
20,42000,2000,0.6,3.0,0.6666666666666667,0,0,0,0,0,513.4547960758209,True
21,44000,2000,0.4,2.0,0.8,0,0,0,0,0,537.0562500953674,True
22,46000,2000,-0.2,-1.0,0.19999999999999996,0,0,0,0,0,564.0105330944061,True
23,48000,2000,0.0,0.0,0.0,0,0,0,0,0,589.8905100822449,True
24,50000,2000,0.6,3.0,0.6666666666666667,0,0,0,0,0,616.0623879432678,True
25,52000,2000,0.2,1.0,0.8,0,0,0,0,0,640.7950119972229,True
26,54000,2000,0.2,1.0,0.8,0,0,0,0,0,666.3251791000366,True
27,56000,2000,0.0,0.0,0.0,0,0,0,0,0,695.5330240726471,True
28,58000,2000,0.0,0.0,0.0,0,0,0,0,0,721.2179219722748,True
29,60000,2000,-0.2,-1.0,0.19999999999999996,0,0,0,0,0,748.7898490428925,True
30,62000,2000,-0.2,-1.0,0.19999999999999996,0,0,0,0,0,773.9924132823944,True
31,64000,2000,0.6,3.0,0.6666666666666667,0,0,0,0,0,796.8335220813751,True
32,66000,2000,-8.2,-41.0,0.21052631578947367,0,0,0,0,0,822.5560460090637,True
33,68000,2000,0.0,0.0,0.0,0,0,0,0,0,849.0642921924591,True
34,70000,2000,1.6,8.0,0.5,0,0,0,0,0,874.2058980464935,True
35,72000,2000,-3.8,-19.0,0.23469387755102056,0,0,0,0,0,899.5159301757812,True
36,74000,2000,26.0,130.0,0.2584615384615385,0,0,0,0,0,924.7624099254608,True
37,76000,2000,5.0,25.0,0.3680000000000001,0,0,0,0,0,948.5686571598053,True
38,78000,2000,3.0,15.0,0.42666666666666675,0,0,0,0,0,976.593013048172,True
39,80000,2000,0.4,2.0,0.6000000000000001,0,0,0,0,0,1001.0623679161072,True
40,82000,2000,-0.2,-1.0,0.19999999999999996,0,0,0,0,0,1027.0357172489166,True
41,84000,2000,-10.0,-50.0,0.20307692307692315,0,0,0,0,0,1051.5612280368805,True
42,86000,2000,0.0,0.0,0.0,0,0,0,0,0,1074.206948041916,True
