episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,ia_penalty_sum,si_bonus_sum,condition,time_seconds,time_limit
0,2000,2000,873.8000000000022,4369.000000000011,0.26066376745250386,0,0,0,0,0,0.0,13342.000000000828,si,15.622799158096313,True
1,4000,2000,1357.5599999999931,6787.799999999966,0.3629975985667597,0,0,0,0,0,0.0,20778.7999999999,si,33.18183708190918,True
2,6000,2000,1993.4399999999885,9967.199999999943,0.2775965165743599,0,0,0,0,0,0.0,32125.199999998775,si,51.53319311141968,True
3,8000,2000,1638.2399999999902,8191.199999999952,0.2789414994799304,0,0,0,0,0,0.0,27709.199999999673,si,70.65183520317078,True
4,10000,2000,1216.51999999998,6082.599999999899,0.38016901581263784,0,0,0,0,0,0.0,18921.599999999802,si,89.88090014457703,True
5,12000,2000,1764.959999999995,8824.799999999976,0.19951273683256154,0,0,0,0,0,0.0,29070.799999999927,si,107.44614815711975,True
6,14000,2000,1888.9199999999794,9444.599999999897,0.2324015839739093,0,0,0,0,0,0.0,30181.59999999924,si,126.85257697105408,True
7,16000,2000,2009.7999999999927,10048.999999999964,0.43273536666065104,0,0,0,0,0,0.0,36303.99999999855,si,146.87852001190186,True
8,18000,2000,2534.7599999999766,12673.799999999883,0.2185342991052408,0,0,0,0,0,0.0,44548.79999999745,si,165.27627730369568,True
9,20000,2000,3317.5600000000027,16587.800000000014,0.46618717298981616,0,0,0,0,0,0.0,73684.80000000104,si,184.3210370540619,True
10,22000,2000,967.0399999999867,4835.199999999933,0.41053038191528457,0,0,0,0,0,0.0,20685.20000000006,si,201.74982023239136,True
11,24000,2000,1562.4799999999839,7812.39999999992,0.24424248630382062,0,0,0,0,0,0.0,25412.39999999921,si,220.67328715324402,True
12,26000,2000,1303.879999999988,6519.3999999999405,0.295665245267966,0,0,0,0,0,0.0,20406.40000000053,si,238.99180507659912,True
13,28000,2000,1672.119999999979,8360.599999999895,0.22059900007176125,0,0,0,0,0,0.0,28141.5999999995,si,257.14484119415283,True
14,30000,2000,931.799999999998,4658.99999999999,0.27429527140033483,0,0,0,0,0,0.0,15038.0000000007,si,275.8741202354431,True
15,32000,2000,1314.1999999999766,6570.999999999884,0.27871056854420817,0,0,0,0,0,0.0,20260.000000000062,si,292.7341229915619,True
16,34000,2000,1167.679999999988,5838.3999999999405,0.4612818596837611,0,0,0,0,0,0.0,17764.40000000107,si,311.17471408843994,True
17,36000,2000,954.399999999994,4771.99999999997,0.3807703511895111,0,0,0,0,0,0.0,15670.000000001262,si,329.4652371406555,True
18,38000,2000,92.95999999999984,464.79999999999916,0.39379269959008356,0,0,0,0,0,0.0,1360.7999999999822,si,347.3830041885376,True
19,40000,2000,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,si,365.7438802719116,True
20,42000,2000,0.12,0.6,0.19999999999999996,0,0,0,0,0,0.0,1.6,si,383.7156162261963,True
21,44000,2000,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,si,400.34911608695984,True
22,46000,2000,2.84,14.2,0.2154929577464788,0,0,0,0,0,0.0,11.199999999999994,si,419.02320098876953,True
23,48000,2000,11.240000000000018,56.20000000000009,0.21283214517174365,0,0,0,0,0,0.0,105.19999999999968,si,437.5065441131592,True
24,50000,2000,16.239999999999995,81.19999999999997,0.09630541871921183,0,0,0,0,0,0.0,51.20000000000014,si,455.74372029304504,True
25,52000,2000,64.59999999999991,322.99999999999955,0.2991689088191327,0,0,0,0,0,0.0,592.0000000000035,si,474.48414516448975,True
26,54000,2000,91.99999999999984,459.9999999999992,0.2748260869565211,0,0,0,0,0,0.0,668.0000000000127,si,491.87706327438354,True
27,56000,2000,186.39999999999947,931.9999999999973,0.18388412017167388,0,0,0,0,0,0.0,1489.9999999999652,si,511.2797532081604,True
28,58000,2000,179.39999999999932,896.9999999999966,0.24738015607580865,0,0,0,0,0,0.0,1427.999999999979,si,530.2343752384186,True
29,60000,2000,121.95999999999967,609.7999999999984,0.35372253197769776,0,0,0,0,0,0.0,1152.80000000001,si,549.2403011322021,True
30,62000,2000,179.5599999999991,897.7999999999955,0.12403653374916424,0,0,0,0,0,0.0,1022.800000000024,si,568.444117307663,True
31,64000,2000,113.43999999999976,567.1999999999988,0.17877291960507669,0,0,0,0,0,0.0,535.2000000000088,si,585.4132730960846,True
32,66000,2000,71.79999999999993,358.9999999999996,0.31164345403899674,0,0,0,0,0,0.0,612.000000000007,si,604.4883761405945,True
33,68000,2000,48.84000000000009,244.20000000000044,0.21883701883701834,0,0,0,0,0,0.0,219.1999999999975,si,623.7592649459839,True
34,70000,2000,62.40000000000005,312.0000000000002,0.12993589743589706,0,0,0,0,0,0.0,195.999999999998,si,642.5036852359772,True
35,72000,2000,35.52000000000004,177.6000000000002,0.041328828828829156,0,0,0,0,0,0.0,119.59999999999951,si,661.4410500526428,True
36,74000,2000,24.52000000000003,122.60000000000016,0.2112622985137116,0,0,0,0,0,0.0,143.5999999999993,si,680.8800671100616,True
37,76000,2000,17.519999999999992,87.59999999999997,0.03721461187214614,0,0,0,0,0,0.0,57.60000000000017,si,699.4921081066132,True
38,78000,2000,5.319999999999999,26.599999999999998,0.10225563909774427,0,0,0,0,0,0.0,17.599999999999994,si,719.0367469787598,True
39,80000,2000,4.68,23.4,0.10170940170940157,0,0,0,0,0,0.0,14.39999999999999,si,738.7611529827118,True
